subexp,condition,cond_question,cond_answer,num,kid,group,context,request,question,answer,continuation,audio,q_start_ms,q_end_ms,a_start_ms,a_end_ms,total_ms,c_start_ms,audio_nocont,total_ms_nocont
or,or-no-no,no,no,26,Albi,b,"C'erano tre formaggi in frigorifero: una scamorza, una mozzarella e una ricotta.","Albi, che aveva intenzione di assaggiare alcuni dei formaggi, riceverà una ricompensa se ha assaggiato la scamorza o la mozzarella.","Ma quindi Albi ha assaggiato la scamorza o la mozzarella, oppure no?","Sì, ha assaggiato la scamorza o la mozzarella, ma non ricordo quale.",ma non ricordo quale.,or-no-no-26.mp3,0,4052,4802,9311,9311,7885,or-no-no-26-nocont.mp3,7785
or,or-no-wh,no,wh,26,Albi,a,"C'erano tre formaggi in frigorifero: una scamorza, una mozzarella e una ricotta.","Albi, che aveva intenzione di assaggiare alcuni dei formaggi, riceverà una ricompensa se ha assaggiato la scamorza o la mozzarella.","Ma quindi Albi ha assaggiato la scamorza o la mozzarella, oppure no?","Sì, ha assaggiato la scamorza o la mozzarella, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-26.mp3,0,4052,4802,9273,9273,7847,or-no-wh-26-nocont.mp3,7747
or,or-wh-no,wh,no,26,Albi,d,"C'erano tre formaggi in frigorifero: una scamorza, una mozzarella e una ricotta.","Albi, che aveva intenzione di assaggiare alcuni dei formaggi, riceverà una ricompensa se ha assaggiato la scamorza.",Ma quindi Albi quali formaggi ha assaggiato?,"Ha assaggiato la scamorza o la mozzarella, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-26.mp3,0,2392,3142,7140,7140,5714,or-wh-no-26-nocont.mp3,5614
or,or-wh-wh,wh,wh,26,Albi,c,"C'erano tre formaggi in frigorifero: una scamorza, una mozzarella e una ricotta.","Albi, che aveva intenzione di assaggiare alcuni dei formaggi, riceverà una ricompensa se ha assaggiato la scamorza.",Ma quindi Albi quali formaggi ha assaggiato?,"Ha assaggiato la scamorza o la mozzarella, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-26.mp3,0,2392,3142,7102,7102,5676,or-wh-wh-26-nocont.mp3,5576
or,or-no-no,no,no,27,Eva,b,"C'erano tre frutti sul pavimento: una banana, una fragola e un'arancia.","Eva, che aveva intenzione di calpestare alcuni dei frutti, riceverà una ricompensa se ha calpestato la banana o la fragola.","Ma quindi Eva ha calpestato la banana o la fragola, oppure no?","Sì, ha calpestato la banana o la fragola, ma non ricordo quale.",ma non ricordo quale.,or-no-no-27.mp3,0,3622,4372,8643,8643,7217,or-no-no-27-nocont.mp3,7117
or,or-no-wh,no,wh,27,Eva,a,"C'erano tre frutti sul pavimento: una banana, una fragola e un'arancia.","Eva, che aveva intenzione di calpestare alcuni dei frutti, riceverà una ricompensa se ha calpestato la banana o la fragola.","Ma quindi Eva ha calpestato la banana o la fragola, oppure no?","Sì, ha calpestato la banana o la fragola, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-27.mp3,0,3622,4372,8688,8688,7262,or-no-wh-27-nocont.mp3,7162
or,or-wh-no,wh,no,27,Eva,d,"C'erano tre frutti sul pavimento: una banana, una fragola e un'arancia.","Eva, che aveva intenzione di calpestare alcuni dei frutti, riceverà una ricompensa se ha calpestato la banana.",Ma quindi Eva quali frutti ha calpestato?,"Ha calpestato la banana o la fragola, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-27.mp3,0,2313,3063,6823,6823,5397,or-wh-no-27-nocont.mp3,5297
or,or-wh-wh,wh,wh,27,Eva,c,"C'erano tre frutti sul pavimento: una banana, una fragola e un'arancia.","Eva, che aveva intenzione di calpestare alcuni dei frutti, riceverà una ricompensa se ha calpestato la banana.",Ma quindi Eva quali frutti ha calpestato?,"Ha calpestato la banana o la fragola, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-27.mp3,0,2313,3063,6868,6868,5442,or-wh-wh-27-nocont.mp3,5342
or,or-no-no,no,no,28,Nico,a,"C'erano tre animali sull'albero: una tortora, uno scoiattolo e un pipistrello.","Nico, che aveva intenzione di far scappare alcuni degli animali, riceverà una ricompensa se ha fatto scappare la tortora o lo scoiattolo.","Ma quindi Nico ha fatto scappare la tortora o lo scoiattolo, oppure no?","Sì, ha fatto scappare la tortora o lo scoiattolo, ma non ricordo quale.",ma non ricordo quale.,or-no-no-28.mp3,0,4216,4966,9745,9745,8319,or-no-no-28-nocont.mp3,8219
or,or-no-wh,no,wh,28,Nico,d,"C'erano tre animali sull'albero: una tortora, uno scoiattolo e un pipistrello.","Nico, che aveva intenzione di far scappare alcuni degli animali, riceverà una ricompensa se ha fatto scappare la tortora o lo scoiattolo.","Ma quindi Nico ha fatto scappare la tortora o lo scoiattolo, oppure no?","Sì, ha fatto scappare la tortora o lo scoiattolo, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-28.mp3,0,4216,4966,9777,9777,8351,or-no-wh-28-nocont.mp3,8251
or,or-wh-no,wh,no,28,Nico,c,"C'erano tre animali sull'albero: una tortora, uno scoiattolo e un pipistrello.","Nico, che aveva intenzione di far scappare alcuni degli animali, riceverà una ricompensa se ha fatto scappare la tortora.",Ma quindi Nico quali animali ha fatto scappare?,"Ha fatto scappare la tortora o lo scoiattolo, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-28.mp3,0,2575,3325,7593,7593,6167,or-wh-no-28-nocont.mp3,6067
or,or-wh-wh,wh,wh,28,Nico,b,"C'erano tre animali sull'albero: una tortora, uno scoiattolo e un pipistrello.","Nico, che aveva intenzione di far scappare alcuni degli animali, riceverà una ricompensa se ha fatto scappare la tortora.",Ma quindi Nico quali animali ha fatto scappare?,"Ha fatto scappare la tortora o lo scoiattolo, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-28.mp3,0,2575,3325,7625,7625,6199,or-wh-wh-28-nocont.mp3,6099
or,or-no-no,no,no,30,Pietro,b,"C'erano tre ingredienti sul bancone: un uovo, una salsiccia e un pomodoro.","Pietro, che aveva intenzione di nascondere alcuni degli ingredienti, riceverà una ricompensa se ha nascosto l'uovo o la salsiccia.","Ma quindi Pietro ha nascosto l'uovo o la salsiccia, oppure no?","Sì, ha nascosto l'uovo o la salsiccia, ma non ricordo quale.",ma non ricordo quale.,or-no-no-30.mp3,0,3789,4539,8724,8724,7298,or-no-no-30-nocont.mp3,7198
or,or-no-wh,no,wh,30,Pietro,a,"C'erano tre ingredienti sul bancone: un uovo, una salsiccia e un pomodoro.","Pietro, che aveva intenzione di nascondere alcuni degli ingredienti, riceverà una ricompensa se ha nascosto l'uovo o la salsiccia.","Ma quindi Pietro ha nascosto l'uovo o la salsiccia, oppure no?","Sì, ha nascosto l'uovo o la salsiccia, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-30.mp3,0,3789,4539,8787,8787,7361,or-no-wh-30-nocont.mp3,7261
or,or-wh-no,wh,no,30,Pietro,d,"C'erano tre ingredienti sul bancone: un uovo, una salsiccia e un pomodoro.","Pietro, che aveva intenzione di nascondere alcuni degli ingredienti, riceverà una ricompensa se ha nascosto l'uovo.",Ma quindi Pietro quali ingredienti ha nascosto?,"Ha nascosto l'uovo o la salsiccia, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-30.mp3,0,2449,3199,6873,6873,5447,or-wh-no-30-nocont.mp3,5347
or,or-wh-wh,wh,wh,30,Pietro,c,"C'erano tre ingredienti sul bancone: un uovo, una salsiccia e un pomodoro.","Pietro, che aveva intenzione di nascondere alcuni degli ingredienti, riceverà una ricompensa se ha nascosto l'uovo.",Ma quindi Pietro quali ingredienti ha nascosto?,"Ha nascosto l'uovo o la salsiccia, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-30.mp3,0,2449,3199,6936,6936,5510,or-wh-wh-30-nocont.mp3,5410
or,or-no-no,no,no,31,Marta,a,"C'erano tre pietre preziose sulla mensola: uno smeraldo, un opale e un'ametista.","Marta, che aveva intenzione di rubare alcune delle pietre preziose, riceverà una ricompensa se ha rubato lo smeraldo o l'opale.","Ma quindi Marta ha rubato lo smeraldo o l'opale, oppure no?","Sì, ha rubato lo smeraldo o l'opale, ma non ricordo quale.",ma non ricordo quale.,or-no-no-31.mp3,0,3590,4340,8430,8430,7004,or-no-no-31-nocont.mp3,6904
or,or-no-wh,no,wh,31,Marta,d,"C'erano tre pietre preziose sulla mensola: uno smeraldo, un opale e un'ametista.","Marta, che aveva intenzione di rubare alcune delle pietre preziose, riceverà una ricompensa se ha rubato lo smeraldo o l'opale.","Ma quindi Marta ha rubato lo smeraldo o l'opale, oppure no?","Sì, ha rubato lo smeraldo o l'opale, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-31.mp3,0,3590,4340,8518,8518,7092,or-no-wh-31-nocont.mp3,6992
or,or-wh-no,wh,no,31,Marta,c,"C'erano tre pietre preziose sulla mensola: uno smeraldo, un opale e un'ametista.","Marta, che aveva intenzione di rubare alcune delle pietre preziose, riceverà una ricompensa se ha rubato lo smeraldo.",Ma quindi Marta quali pietre preziose ha rubato?,"Ha rubato lo smeraldo o l'opale, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-31.mp3,0,3002,3752,7331,7331,5905,or-wh-no-31-nocont.mp3,5805
or,or-wh-wh,wh,wh,31,Marta,b,"C'erano tre pietre preziose sulla mensola: uno smeraldo, un opale e un'ametista.","Marta, che aveva intenzione di rubare alcune delle pietre preziose, riceverà una ricompensa se ha rubato lo smeraldo.",Ma quindi Marta quali pietre preziose ha rubato?,"Ha rubato lo smeraldo o l'opale, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-31.mp3,0,3002,3752,7419,7419,5993,or-wh-wh-31-nocont.mp3,5893
or,or-no-no,no,no,32,Albi,a,"C'erano tre snack in dispensa: una merendina, un salamino e un biscotto.","Albi, che aveva intenzione di mangiare alcuni degli snack, riceverà una ricompensa se ha mangiato la merendina o il salamino.","Ma quindi Albi ha mangiato la merendina o il salamino, oppure no?","Sì, ha mangiato la merendina o il salamino, ma non ricordo quale.",ma non ricordo quale.,or-no-no-32.mp3,0,3661,4411,8707,8707,7281,or-no-no-32-nocont.mp3,7181
or,or-no-wh,no,wh,32,Albi,d,"C'erano tre snack in dispensa: una merendina, un salamino e un biscotto.","Albi, che aveva intenzione di mangiare alcuni degli snack, riceverà una ricompensa se ha mangiato la merendina o il salamino.","Ma quindi Albi ha mangiato la merendina o il salamino, oppure no?","Sì, ha mangiato la merendina o il salamino, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-32.mp3,0,3661,4411,8876,8876,7450,or-no-wh-32-nocont.mp3,7350
or,or-wh-no,wh,no,32,Albi,c,"C'erano tre snack in dispensa: una merendina, un salamino e un biscotto.","Albi, che aveva intenzione di mangiare alcuni degli snack, riceverà una ricompensa se ha mangiato la merendina.",Ma quindi Albi quali snack ha mangiato?,"Ha mangiato la merendina o il salamino, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-32.mp3,0,2200,2950,6735,6735,5309,or-wh-no-32-nocont.mp3,5209
or,or-wh-wh,wh,wh,32,Albi,b,"C'erano tre snack in dispensa: una merendina, un salamino e un biscotto.","Albi, che aveva intenzione di mangiare alcuni degli snack, riceverà una ricompensa se ha mangiato la merendina.",Ma quindi Albi quali snack ha mangiato?,"Ha mangiato la merendina o il salamino, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-32.mp3,0,2200,2950,6904,6904,5478,or-wh-wh-32-nocont.mp3,5378
or,or-no-no,no,no,33,Eva,a,"C'erano tre bibite fredde sul tavolo: un succo, una spremuta e un tè.","Eva, che aveva intenzione di rovesciare alcune delle bibite fredde, riceverà una ricompensa se ha rovesciato il succo o la spremuta.","Ma quindi Eva ha rovesciato il succo o la spremuta, oppure no?","Sì, ha rovesciato il succo o la spremuta, ma non ricordo quale.",ma non ricordo quale.,or-no-no-33.mp3,0,3652,4402,8634,8634,7208,or-no-no-33-nocont.mp3,7108
or,or-no-wh,no,wh,33,Eva,d,"C'erano tre bibite fredde sul tavolo: un succo, una spremuta e un tè.","Eva, che aveva intenzione di rovesciare alcune delle bibite fredde, riceverà una ricompensa se ha rovesciato il succo o la spremuta.","Ma quindi Eva ha rovesciato il succo o la spremuta, oppure no?","Sì, ha rovesciato il succo o la spremuta, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-33.mp3,0,3652,4402,8783,8783,7357,or-no-wh-33-nocont.mp3,7257
or,or-wh-no,wh,no,33,Eva,c,"C'erano tre bibite fredde sul tavolo: un succo, una spremuta e un tè.","Eva, che aveva intenzione di rovesciare alcune delle bibite fredde, riceverà una ricompensa se ha rovesciato il succo.",Ma quindi Eva quali bibite fredde ha rovesciato?,"Ha rovesciato il succo o la spremuta, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-33.mp3,0,2696,3446,7167,7167,5741,or-wh-no-33-nocont.mp3,5641
or,or-wh-wh,wh,wh,33,Eva,b,"C'erano tre bibite fredde sul tavolo: un succo, una spremuta e un tè.","Eva, che aveva intenzione di rovesciare alcune delle bibite fredde, riceverà una ricompensa se ha rovesciato il succo.",Ma quindi Eva quali bibite fredde ha rovesciato?,"Ha rovesciato il succo o la spremuta, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-33.mp3,0,2696,3446,7316,7316,5890,or-wh-wh-33-nocont.mp3,5790
or,or-no-no,no,no,35,Luna,a,"C'erano tre vestiti chiari sullo stendino: una gonna, una camicia e un golfino.","Luna, che aveva intenzione di macchiare alcuni dei vestiti chiari, riceverà una ricompensa se ha macchiato la gonna o la camicia.","Ma quindi Luna ha macchiato la gonna o la camicia, oppure no?","Sì, ha macchiato la gonna o la camicia, ma non ricordo quale.",ma non ricordo quale.,or-no-no-35.mp3,0,3285,4035,8106,8106,6680,or-no-no-35-nocont.mp3,6580
or,or-no-wh,no,wh,35,Luna,d,"C'erano tre vestiti chiari sullo stendino: una gonna, una camicia e un golfino.","Luna, che aveva intenzione di macchiare alcuni dei vestiti chiari, riceverà una ricompensa se ha macchiato la gonna o la camicia.","Ma quindi Luna ha macchiato la gonna o la camicia, oppure no?","Sì, ha macchiato la gonna o la camicia, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-35.mp3,0,3285,4035,8147,8147,6721,or-no-wh-35-nocont.mp3,6621
or,or-wh-no,wh,no,35,Luna,c,"C'erano tre vestiti chiari sullo stendino: una gonna, una camicia e un golfino.","Luna, che aveva intenzione di macchiare alcuni dei vestiti chiari, riceverà una ricompensa se ha macchiato la gonna.",Ma quindi Luna quali vestiti chiari ha macchiato?,"Ha macchiato la gonna o la camicia, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-35.mp3,0,2686,3436,6996,6996,5570,or-wh-no-35-nocont.mp3,5470
or,or-wh-wh,wh,wh,35,Luna,b,"C'erano tre vestiti chiari sullo stendino: una gonna, una camicia e un golfino.","Luna, che aveva intenzione di macchiare alcuni dei vestiti chiari, riceverà una ricompensa se ha macchiato la gonna.",Ma quindi Luna quali vestiti chiari ha macchiato?,"Ha macchiato la gonna o la camicia, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-35.mp3,0,2686,3436,7037,7037,5611,or-wh-wh-35-nocont.mp3,5511
or,or-no-no,no,no,36,Pietro,a,"C'erano tre attrezzi sul tavolo di lavoro: un metro, un calibro e un cacciavite.","Pietro, che aveva intenzione di nascondere alcuni degli attrezzi, riceverà una ricompensa se ha nascosto il metro o il calibro.","Ma quindi Pietro ha nascosto il metro o il calibro, oppure no?","Sì, ha nascosto il metro o il calibro, ma non ricordo quale.",ma non ricordo quale.,or-no-no-36.mp3,0,3477,4227,8222,8222,6796,or-no-no-36-nocont.mp3,6696
or,or-no-wh,no,wh,36,Pietro,d,"C'erano tre attrezzi sul tavolo di lavoro: un metro, un calibro e un cacciavite.","Pietro, che aveva intenzione di nascondere alcuni degli attrezzi, riceverà una ricompensa se ha nascosto il metro o il calibro.","Ma quindi Pietro ha nascosto il metro o il calibro, oppure no?","Sì, ha nascosto il metro o il calibro, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-36.mp3,0,3477,4227,8211,8211,6785,or-no-wh-36-nocont.mp3,6685
or,or-wh-no,wh,no,36,Pietro,c,"C'erano tre attrezzi sul tavolo di lavoro: un metro, un calibro e un cacciavite.","Pietro, che aveva intenzione di nascondere alcuni degli attrezzi, riceverà una ricompensa se ha nascosto il metro.",Ma quindi Pietro quali attrezzi ha nascosto?,"Ha nascosto il metro o il calibro, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-36.mp3,0,2467,3217,6701,6701,5275,or-wh-no-36-nocont.mp3,5175
or,or-wh-wh,wh,wh,36,Pietro,b,"C'erano tre attrezzi sul tavolo di lavoro: un metro, un calibro e un cacciavite.","Pietro, che aveva intenzione di nascondere alcuni degli attrezzi, riceverà una ricompensa se ha nascosto il metro.",Ma quindi Pietro quali attrezzi ha nascosto?,"Ha nascosto il metro o il calibro, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-36.mp3,0,2467,3217,6690,6690,5264,or-wh-wh-36-nocont.mp3,5164
sm,sm-all-all,all,all,1,Marta,a,C'erano diverse bambole nello scatolone.,"Marta, che aveva intenzione di rubare delle bambole, riceverà una ricompensa se le ha rubate tutte.","Ma quindi Marta ha rubato alcune delle bambole, oppure le ha rubate tutte?","Ne ha rubate alcune, ma non le ha rubate tutte.",ma non le ha rubate tutte.,sm-all-all-1.mp3,0,4332,5082,7903,7903,6374,sm-all-all-1-nocont.mp3,6274
sm,sm-all-no,all,no,1,Marta,b,C'erano diverse bambole nello scatolone.,"Marta, che aveva intenzione di rubare delle bambole, riceverà una ricompensa se le ha rubate tutte.","Ma quindi Marta ha rubato alcune delle bambole, oppure le ha rubate tutte?","Ne ha rubate alcune, ma non le ha rubate tutte.",ma non le ha rubate tutte.,sm-all-no-1.mp3,0,4332,5082,8044,8044,6515,sm-all-no-1-nocont.mp3,6415
sm,sm-no-all,no,all,1,Marta,c,C'erano diverse bambole nello scatolone.,"Marta, che si trovava vicino allo scatolone, riceverà una ricompensa se ha rubato delle bambole.","Ma quindi Marta ha rubato alcune delle bambole, oppure no?","Sì, ne ha rubate alcune, ma non le ha rubate tutte.",ma non le ha rubate tutte.,sm-no-all-1.mp3,0,3178,3928,7260,7260,5731,sm-no-all-1-nocont.mp3,5631
sm,sm-no-no,no,no,1,Marta,d,C'erano diverse bambole nello scatolone.,"Marta, che si trovava vicino allo scatolone, riceverà una ricompensa se ha rubato delle bambole.","Ma quindi Marta ha rubato alcune delle bambole, oppure no?","Sì, ne ha rubate alcune, ma non le ha rubate tutte.",ma non le ha rubate tutte.,sm-no-no-1.mp3,0,3178,3928,7401,7401,5872,sm-no-no-1-nocont.mp3,5772
sm,sm-all-all,all,all,2,Albi,a,C'erano diversi stuzzichini sul tavolo.,"Albi, che aveva intenzione di mangiare degli stuzzichini, riceverà una ricompensa se li ha mangiati tutti.","Ma quindi Albi ha mangiato alcuni degli stuzzichini, oppure li ha mangiati tutti?","Ne ha mangiati alcuni, ma non li ha mangiati tutti.",ma non li ha mangiati tutti.,sm-all-all-2.mp3,0,4405,5155,8174,8174,6627,sm-all-all-2-nocont.mp3,6527
sm,sm-all-no,all,no,2,Albi,b,C'erano diversi stuzzichini sul tavolo.,"Albi, che aveva intenzione di mangiare degli stuzzichini, riceverà una ricompensa se li ha mangiati tutti.","Ma quindi Albi ha mangiato alcuni degli stuzzichini, oppure li ha mangiati tutti?","Ne ha mangiati alcuni, ma non li ha mangiati tutti.",ma non li ha mangiati tutti.,sm-all-no-2.mp3,0,4405,5155,8134,8134,6587,sm-all-no-2-nocont.mp3,6487
sm,sm-no-all,no,all,2,Albi,c,C'erano diversi stuzzichini sul tavolo.,"Albi, che si trovava vicino al tavolo, riceverà una ricompensa se ha mangiato degli stuzzichini.","Ma quindi Albi ha mangiato alcuni degli stuzzichini, oppure no?","Sì, ne ha mangiati alcuni, ma non li ha mangiati tutti.",ma non li ha mangiati tutti.,sm-no-all-2.mp3,0,3627,4377,7907,7907,6360,sm-no-all-2-nocont.mp3,6260
sm,sm-no-no,no,no,2,Albi,d,C'erano diversi stuzzichini sul tavolo.,"Albi, che si trovava vicino al tavolo, riceverà una ricompensa se ha mangiato degli stuzzichini.","Ma quindi Albi ha mangiato alcuni degli stuzzichini, oppure no?","Sì, ne ha mangiati alcuni, ma non li ha mangiati tutti.",ma non li ha mangiati tutti.,sm-no-no-2.mp3,0,3627,4377,7867,7867,6320,sm-no-no-2-nocont.mp3,6220
sm,sm-all-all,all,all,3,Eva,a,C'erano diverse tazze sulla mensola.,"Eva, che aveva intenzione di rompere delle tazze, riceverà una ricompensa se le ha rotte tutte.","Ma quindi Eva ha rotto alcune delle tazze, oppure le ha rotte tutte?","Ne ha rotte alcune, ma non le ha rotte tutte.",ma non le ha rotte tutte.,sm-all-all-3.mp3,0,3918,4668,7529,7529,6050,sm-all-all-3-nocont.mp3,5950
sm,sm-all-no,all,no,3,Eva,b,C'erano diverse tazze sulla mensola.,"Eva, che aveva intenzione di rompere delle tazze, riceverà una ricompensa se le ha rotte tutte.","Ma quindi Eva ha rotto alcune delle tazze, oppure le ha rotte tutte?","Ne ha rotte alcune, ma non le ha rotte tutte.",ma non le ha rotte tutte.,sm-all-no-3.mp3,0,3918,4668,7497,7497,6018,sm-all-no-3-nocont.mp3,5918
sm,sm-no-all,no,all,3,Eva,c,C'erano diverse tazze sulla mensola.,"Eva, che si trovava vicino alla mensola, riceverà una ricompensa se ha rotto delle tazze.","Ma quindi Eva ha rotto alcune delle tazze, oppure no?","Sì, ne ha rotte alcune, ma non le ha rotte tutte.",ma non le ha rotte tutte.,sm-no-all-3.mp3,0,3095,3845,7217,7217,5738,sm-no-all-3-nocont.mp3,5638
sm,sm-no-no,no,no,3,Eva,d,C'erano diverse tazze sulla mensola.,"Eva, che si trovava vicino alla mensola, riceverà una ricompensa se ha rotto delle tazze.","Ma quindi Eva ha rotto alcune delle tazze, oppure no?","Sì, ne ha rotte alcune, ma non le ha rotte tutte.",ma non le ha rotte tutte.,sm-no-no-3.mp3,0,3095,3845,7185,7185,5706,sm-no-no-3-nocont.mp3,5606
sm,sm-all-all,all,all,4,Nico,a,C'erano diversi piccioni sul marciapiede.,"Nico, che aveva intenzione di rincorrere dei piccioni, riceverà una ricompensa se li ha rincorsi tutti.","Ma quindi Nico ha rincorso alcuni dei piccioni, oppure li ha rincorsi tutti?","Ne ha rincorsi alcuni, ma non li ha rincorsi tutti.",ma non li ha rincorsi tutti.,sm-all-all-4.mp3,0,4306,5056,8371,8371,6672,sm-all-all-4-nocont.mp3,6572
sm,sm-all-no,all,no,4,Nico,b,C'erano diversi piccioni sul marciapiede.,"Nico, che aveva intenzione di rincorrere dei piccioni, riceverà una ricompensa se li ha rincorsi tutti.","Ma quindi Nico ha rincorso alcuni dei piccioni, oppure li ha rincorsi tutti?","Ne ha rincorsi alcuni, ma non li ha rincorsi tutti.",ma non li ha rincorsi tutti.,sm-all-no-4.mp3,0,4306,5056,8363,8363,6664,sm-all-no-4-nocont.mp3,6564
sm,sm-no-all,no,all,4,Nico,c,C'erano diversi piccioni sul marciapiede.,"Nico, che si trovava vicino al marciapiede, riceverà una ricompensa se ha rincorso dei piccioni.","Ma quindi Nico ha rincorso alcuni dei piccioni, oppure no?","Sì, ne ha rincorsi alcuni, ma non li ha rincorsi tutti.",ma non li ha rincorsi tutti.,sm-no-all-4.mp3,0,3259,4009,7835,7835,6136,sm-no-all-4-nocont.mp3,6036
sm,sm-no-no,no,no,4,Nico,d,C'erano diversi piccioni sul marciapiede.,"Nico, che si trovava vicino al marciapiede, riceverà una ricompensa se ha rincorso dei piccioni.","Ma quindi Nico ha rincorso alcuni dei piccioni, oppure no?","Sì, ne ha rincorsi alcuni, ma non li ha rincorsi tutti.",ma non li ha rincorsi tutti.,sm-no-no-4.mp3,0,3259,4009,7827,7827,6128,sm-no-no-4-nocont.mp3,6028
sm,sm-all-all,all,all,5,Luna,a,C'erano diversi cuscini sul divano.,"Luna, che aveva intenzione di sporcare dei cuscini, riceverà una ricompensa se li ha sporcati tutti.","Ma quindi Luna ha sporcato alcuni dei cuscini, oppure li ha sporcati tutti?","Ne ha sporcati alcuni, ma non li ha sporcati tutti.",ma non li ha sporcati tutti.,sm-all-all-5.mp3,0,4110,4860,8164,8164,6497,sm-all-all-5-nocont.mp3,6397
sm,sm-all-no,all,no,5,Luna,b,C'erano diversi cuscini sul divano.,"Luna, che aveva intenzione di sporcare dei cuscini, riceverà una ricompensa se li ha sporcati tutti.","Ma quindi Luna ha sporcato alcuni dei cuscini, oppure li ha sporcati tutti?","Ne ha sporcati alcuni, ma non li ha sporcati tutti.",ma non li ha sporcati tutti.,sm-all-no-5.mp3,0,4110,4860,8037,8037,6370,sm-all-no-5-nocont.mp3,6270
sm,sm-no-all,no,all,5,Luna,c,C'erano diversi cuscini sul divano.,"Luna, che si trovava vicino al divano, riceverà una ricompensa se ha sporcato dei cuscini.","Ma quindi Luna ha sporcato alcuni dei cuscini, oppure no?","Sì, ne ha sporcati alcuni, ma non li ha sporcati tutti.",ma non li ha sporcati tutti.,sm-no-all-5.mp3,0,3188,3938,7753,7753,6086,sm-no-all-5-nocont.mp3,5986
sm,sm-no-no,no,no,5,Luna,d,C'erano diversi cuscini sul divano.,"Luna, che si trovava vicino al divano, riceverà una ricompensa se ha sporcato dei cuscini.","Ma quindi Luna ha sporcato alcuni dei cuscini, oppure no?","Sì, ne ha sporcati alcuni, ma non li ha sporcati tutti.",ma non li ha sporcati tutti.,sm-no-no-5.mp3,0,3188,3938,7626,7626,5959,sm-no-no-5-nocont.mp3,5859
sm,sm-all-all,all,all,6,Pietro,a,C'erano diversi anelli nel portagioie.,"Pietro, che aveva intenzione di nascondere degli anelli, riceverà una ricompensa se li ha nascosti tutti.","Ma quindi Pietro ha nascosto alcuni degli anelli, oppure li ha nascosti tutti?","Ne ha nascosti alcuni, ma non li ha nascosti tutti.",ma non li ha nascosti tutti.,sm-all-all-6.mp3,0,4150,4900,8142,8142,6413,sm-all-all-6-nocont.mp3,6313
sm,sm-all-no,all,no,6,Pietro,b,C'erano diversi anelli nel portagioie.,"Pietro, che aveva intenzione di nascondere degli anelli, riceverà una ricompensa se li ha nascosti tutti.","Ma quindi Pietro ha nascosto alcuni degli anelli, oppure li ha nascosti tutti?","Ne ha nascosti alcuni, ma non li ha nascosti tutti.",ma non li ha nascosti tutti.,sm-all-no-6.mp3,0,4150,4900,8108,8108,6379,sm-all-no-6-nocont.mp3,6279
sm,sm-no-all,no,all,6,Pietro,c,C'erano diversi anelli nel portagioie.,"Pietro, che si trovava vicino al portagioie, riceverà una ricompensa se ha nascosto degli anelli.","Ma quindi Pietro ha nascosto alcuni degli anelli, oppure no?","Sì, ne ha nascosti alcuni, ma non li ha nascosti tutti.",ma non li ha nascosti tutti.,sm-no-all-6.mp3,0,3399,4149,7902,7902,6173,sm-no-all-6-nocont.mp3,6073
sm,sm-no-no,no,no,6,Pietro,d,C'erano diversi anelli nel portagioie.,"Pietro, che si trovava vicino al portagioie, riceverà una ricompensa se ha nascosto degli anelli.","Ma quindi Pietro ha nascosto alcuni degli anelli, oppure no?","Sì, ne ha nascosti alcuni, ma non li ha nascosti tutti.",ma non li ha nascosti tutti.,sm-no-no-6.mp3,0,3399,4149,7868,7868,6139,sm-no-no-6-nocont.mp3,6039
sm,sm-all-all,all,all,7,Marta,d,C'erano diverse macchinine sulla pista.,"Marta, che aveva intenzione di rubare delle macchinine, riceverà una ricompensa se le ha rubate tutte.","Ma quindi Marta ha rubato alcune delle macchinine, oppure le ha rubate tutte?","Ne ha rubate alcune, ma non le ha rubate tutte.",ma non le ha rubate tutte.,sm-all-all-7.mp3,0,4188,4938,7759,7759,6230,sm-all-all-7-nocont.mp3,6130
